,word1,word2,tag,BTag,label
0,svAxu,paxArWAn,K1,K,T
1,xvAxaSa,varRANi,Tdt,T,T
2,AxAna,xurbale,T7,T,T
3,go,BakwAH,T6,T,T
4,viXi,Bexena,T6,T,T
5,nIwi,kuSalaM,T7,T,T
6,lafkA,upamam,Bs6,B,B
7,yaSas,lipsoH,T6,T,T
8,kaSa,AGAwam,T3,T,T
9,hewumaw,uwwaram,Bs6,B,B
10,varRa,pUgAn,Bs6,B,B
11,sa,cewanaH,BvS,B,B
12,paxa,arpaNena,T6,T,T
13,lABa,anviwAH,T3,T,T
14,sa,atqtahAsam,BvS,B,B
15,rasa,vegaH,T6,T,T
16,a,parisaMKyeyawvaM,Tn,T,T
17,cinwana,parAH,T7,T,T
18,Agneya,aswrANi,K1,K,T
19,su,maXyamA,Bs6,B,B
20,vikala,afgaH,Bs6,B,B
21,SqgAla,AxInAm,Bs6,B,B
22,Gora,vikramAH,Bs6,B,B
23,mahaw,rava,Bs6,B,B
24,yaWA,kaWaciMw,Tm,T,T
25,asi,carmiNaH,Bs6,B,B
26,sam,rakRaka,Tp,T,T
27,pIwa,lohiwAH,Bs6,B,B
28,sa,aBimAnam,BvS,B,B
29,sa,aBijFAnam,Bs6,B,B
30,apagawa,cewanA,Bs5,B,B
31,kurun,sawwamam,K1,K,T
32,nUwana,paxAni,K1,K,T
33,bala,aXikaraNAni,T6,T,T
34,parikIrNa,keSam,Bs6,B,B
35,sva,viBavEH,T6,T,T
36,pra,hAya,Tg,T,T
37,Suka,AxyEH,Bs6,B,B
38,sapwa,uwwaraM,Bs6,B,B
39,nis,spqhaH,Bs6,B,B
40,BAva,vihvalaH,T3,T,T
41,kaniRTa,BrAwaram,K1,K,T
42,afka,pAlyAm,K7,K,T
43,bahu,SruwAH,Bs6,B,B
44,su,saMwuRtAn,K1,K,T
45,na,upasWiwO,Tn,T,T
46,na,saMKyA,Tn,T,T
47,xawwa,ciwwa,Bs3,B,B
48,waw,anvayAH,T6,T,T
49,garuda,Xvaja,Bs6,B,B
50,wamasA,Avqwam,T3,T,T
51,bahu,viXAM,K1,K,T
52,waw,arWIyaM,K6,K,T
53,alpa,xroheNa,K1,K,T
54,aninxya,AwmA,Bs6,B,B
55,sunxara,AkArakasya,Bs6,B,B
56,yuXiRTira,AxayaH,Bs6,B,B
57,kRIra,sAgaraH,Km,K,T
58,jiwa,kroXaM,Bs3,B,B
59,kaRta,pUrvakam,Bs5,B,B
60,A,pralayam,A1,A,A
61,Xarma,anviwAn,T3,T,T
62,sa,nAWIkqwA,BvS,B,B
63,nir,vErAH,Bsp,B,B
64,xAna,SIlawAm,Bs6,B,B
65,wqNa,Axikam,Bs6,B,B
66,pawana,anwAH,Bs6,B,B
67,xAsa,BAvaH,T6,T,T
68,nis,svArWa,Bvp,B,B
69,svAxu,wikwakam,Ds,D,D
70,na,xqRtA,Tn,T,T
71,maXya,ahna,T1,T,T
72,a,kqwaM,Tn,T,T
73,ikRvAku,kulasya,T7,T,T
74,a,yogena,Tn,T,T
75,suraBiwa,mAsaH,K1,K,T
76,mahA,vegAH,Bs6,B,B
77,su,sWiwam,Tp,T,T
78,sa,kRamA,Bvs,B,B
79,puRkara,nAmake,Bs6,B,B
80,sarva,vikArAn,K1,K,T
81,waw,muKAw,T6,T,T
82,ni,yuFjyAH,Tp,T,T
83,bala,parAkramaH,Bs7,B,B
84,xvi,Sawam,Km,K,T
85,yuxXa,viSAraxAH,T7,T,T
86,sa,niSvAsam,BvS,B,B
87,sax,vqwwEH,Bs6,B,B
88,svarga,upamam,Bs6,B,B
89,prasruwa,woyaM,Bs5,B,B
90,an,anwaM,Bs6,B,B
91,na,ukwam,Tn,T,T
92,vAsa,yogyam,T6,T,T
93,na,sAmarWyam,Tn,T,T
94,an,qjuH,Tn,T,T
95,xevawA,aBimuKaH,Bs6,B,B
96,an,AwurAM,Tn,T,T
97,xIpwa,agneH,K1,K,T
98,jFAna,niScayaH,K4,K,T
99,lupwa,XErya,Bs6,B,B
100,parama,qRiNA,K1,K,T
101,aXaH,Sirasa,Bs6,B,B
102,pra,kampawe,Tp,T,T
103,praxakRiNa,purassaram,T3,T,T
104,asmaw,apekRayA,T5,T,T
105,jiwa,klamaH,Bs6,B,B
106,Sriya,upapannaH,T3,T,T
107,nir,AlambanaH,Bs6,B,B
108,BUri,klinna,K1,K,T
109,go,vqRaH,K1,K,T
110,Bojana,AxiH,Bs6,B,B
111,nir,praBAvA,Bsp,B,B
112,avinXya,vAriwaH,T3,T,T
113,ISa,AxyAn,Bs6,B,B
114,prAsAxa,AxIn,Bs6,B,B
115,cawuH,xvAraM,Bvsp,B,B
116,pra,mawwaM,Tp,T,T
117,para,saMSrayAw,T6,T,T
118,sa,Jampam,BvS,B,B
119,maha,qRiNA,K1,K,T
120,XannA,nAma,Bs6,B,B
121,nirvqwwa,aBiRekam,Bs6,B,B
122,kROra,karmiNA,T6,T,T
123,cawuR,paxI,Bs6,B,B
124,java,uparoXaH,T6,T,T
125,vikaca,vaxanA,Bs6,B,B
126,vispaRta,lakRaNA,Bs6,B,B
127,veNu,nAxaH,T6,T,T
128,mahaw,hanuH,K1,K,T
129,hqwa,svAH,Bs6,B,B
130,cirakAla,pAliwam,T4,T,T
131,Buja,xaNdEH,K6,K,T
132,puswaka,AxInAm,Bs6,B,B
133,wUla,Bariwam,T3,T,T
134,su,gamBIrAM,K2,K,T
135,wri,xaNdI,Bs6,B,B
136,ugra,cApam,Bs6,B,B
137,viMSawi,kroSAn,K7,K,T
138,sa,lajjam,BvS,B,B
139,a,vraNO,Bsmn,B,B
140,pqWivi,inxra,T6,T,T
141,vAma,afgulyAm,K1,K,T
142,vi,rAgI,Tp,T,T
143,pra,lalAtAH,Bs6,B,B
144,bahu,viXAH,Bs6,B,B
145,na,mAyayA,Tn,T,T
146,SAnwa,amarRam,Bs6,B,B
147,viRAxa,vimuKaH,T3,T,T
148,kqRNa,aXamAm,Bs6,B,B
149,nir,rogam,Bvp,B,B
150,anvarWa,nAmA,Bs6,B,B
151,sa,Xanam,BvS,B,B
152,viKyAwa,vIryasya,Bs6,B,B
153,yaWA,arWa,A1,A,A
154,yaWA,viBAgena,A1,A,A
155,yukwa,leKawA,Bs7,B,B
156,Bakwi,ciwrasya,T6,T,T
157,vIwa,rAgeNa,Bs3,B,B
158,paraM,wapaH,Bs6,B,B
159,na,nirIkRiwawayA,Tn,T,T
160,sam,avApya,Tg,T,T
161,hawa,bAnXavAH,Bs6,B,B
162,puruRa,rUpaH,Bv,B,B
163,gala,pAkaH,T6,T,T
164,pari,spqRtaH,Tp,T,T
165,wapaH,XanaH,Bs6,B,B
166,sama,akRam,A1,A,A
167,upa,inXanaH,Tp,T,T
168,sneha,vimarxanAw,T3,T,T
169,brahma,sameByaH,T3,T,T
170,upacAra,pUrvakam,Bs5,B,B
171,BAva,upapannawA,T6,T,T
172,su,sAXyam,Tp,T,T
173,nir,voDum,Tp,T,T
174,wapas,mUlaM,Bs6,B,B
175,Cinna,xruma,K1,K,T
176,caru,xvayaM,T6,T,T
177,a,sWAne,Tn,T,T
178,nava,yuvakE,K1,K,T
179,uwpanna,wyAginaH,T6,T,T
180,sahasra,bAhu,Tds,T,T
181,su,xaMRtraM,Bs6,B,B
182,a,xviwIyAH,Bsmn,B,B
183,maXye,Bavanam,A7,A,A
184,harRa,ullAsa,Ds,D,D
185,priya,maNdanA,Bs6,B,B
186,xur,hqxaH,Bs6,B,B
187,viMSawi,varRAH,Bs6,B,B
188,maha,qRe,K1,K,T
189,uxyawa,xaNdasya,Bs3,B,B
190,xvaMxvq,ArAmeRu,Bs6,B,B
191,vaniwA,vigrahaH,BvU,B,B
192,sa,viXi,BvS,B,B
193,waw,parasya,Bs6,B,B
194,praWama,xivasAw,K1,K,T
195,uxa,manWaM,T3,T,T
196,mahaw,AxareNa,K1,K,T
197,yaWA,sWAnaM,A1,A,A
198,a,sAXuvaw,Tn,T,T
199,rOxra,karmA,Bs6,B,B
200,rakRA,sahAyAH,Bs6,B,B
201,kamala,AkAram,Bsu,B,B
